F.S. Telic Group Bigues i Riells Benjamí;4 - 3;F.S. Esclop Benjamí;14/10/2017;12:00;1;"Benjami ""A""";11. Benjamí
Escola de Futsal Grèvol Benjamí;13 - 1;"Olimpic Argentona Benjamí ""B""";14/10/2017;12:00;1;"Benjami ""A""";11. Benjamí
F.S. Llinars Atletic Benjamí;12 - 0;"Olimpic Argentona Benjamí ""A""";14/10/2017;12:15;1;"Benjami ""A""";11. Benjamí
F.S. Llinars Benjamí;3 - 6;C.F.S. La Garriga Benjamí;25/11/2017;16:00;1;"Benjami ""A""";11. Benjamí
C.F.S. La Garriga Benjamí;4 - 1;Escola de Futsal Grèvol Benjamí;21/10/2017;10:30;2;"Benjami ""A""";11. Benjamí
"Olimpic Argentona Benjamí ""B""";4 - 5;F.S. Telic Group Bigues i Riells Benjamí;21/10/2017;12:00;2;"Benjami ""A""";11. Benjamí
F.S. Llinars Atletic Benjamí;0 - 2;F.S. Llinars Benjamí;21/10/2017;17:00;2;"Benjami ""A""";11. Benjamí
F.S. Esclop Benjamí;10 - 0;"Olimpic Argentona Benjamí ""A""";22/10/2017;10:30;2;"Benjami ""A""";11. Benjamí
"Olimpic Argentona Benjamí ""A""";4 - 5;"Olimpic Argentona Benjamí ""B""";28/10/2017;10:00;3;"Benjami ""A""";11. Benjamí
C.F.S. La Garriga Benjamí;10 - 4;F.S. Llinars Atletic Benjamí;28/10/2017;11:00;3;"Benjami ""A""";11. Benjamí
F.S. Llinars Benjamí;2 - 5;F.S. Esclop Benjamí;28/10/2017;11:00;3;"Benjami ""A""";11. Benjamí
Escola de Futsal Grèvol Benjamí;5 - 5;F.S. Telic Group Bigues i Riells Benjamí;28/10/2017;13:15;3;"Benjami ""A""";11. Benjamí
F.S. Telic Group Bigues i Riells Benjamí;3 - 6;"Olimpic Argentona Benjamí ""A""";04/11/2017;12:00;4;"Benjami ""A""";11. Benjamí
F.S. Llinars Atletic Benjamí;5 - 4;Escola de Futsal Grèvol Benjamí;04/11/2017;16:30;4;"Benjami ""A""";11. Benjamí
"Olimpic Argentona Benjamí ""B""";0 - 4;F.S. Llinars Benjamí;05/11/2017;09:00;4;"Benjami ""A""";11. Benjamí
F.S. Esclop Benjamí;2 - 7;C.F.S. La Garriga Benjamí;05/11/2017;10:30;4;"Benjami ""A""";11. Benjamí
F.S. Llinars Atletic Benjamí;4 - 4;F.S. Esclop Benjamí;11/11/2017;09:00;5;"Benjami ""A""";11. Benjamí
F.S. Llinars Benjamí;1 - 2;F.S. Telic Group Bigues i Riells Benjamí;11/11/2017;10:15;5;"Benjami ""A""";11. Benjamí
Escola de Futsal Grèvol Benjamí;12 - 3;"Olimpic Argentona Benjamí ""A""";11/11/2017;12:00;5;"Benjami ""A""";11. Benjamí
"Olimpic Argentona Benjamí ""B""";3 - 6;C.F.S. La Garriga Benjamí;26/11/2017;11:00;5;"Benjami ""A""";11. Benjamí
Escola de Futsal Grèvol Benjamí;3 - 4;F.S. Esclop Benjamí;18/11/2017;10:45;6;"Benjami ""A""";11. Benjamí
C.F.S. La Garriga Benjamí;12 - 2;F.S. Telic Group Bigues i Riells Benjamí;18/11/2017;11:30;6;"Benjami ""A""";11. Benjamí
"Olimpic Argentona Benjamí ""B""";3 - 5;F.S. Llinars Atletic Benjamí;19/11/2017;09:00;6;"Benjami ""A""";11. Benjamí
"Olimpic Argentona Benjamí ""A""";0 - 2;F.S. Llinars Benjamí;19/11/2017;10:00;6;"Benjami ""A""";11. Benjamí
F.S. Llinars Atletic Benjamí;11 - 0;F.S. Telic Group Bigues i Riells Benjamí;02/12/2017;09:00;7;"Benjami ""A""";11. Benjamí
C.F.S. La Garriga Benjamí;11 - 1;"Olimpic Argentona Benjamí ""A""";02/12/2017;10:00;7;"Benjami ""A""";11. Benjamí
F.S. Llinars Benjamí;1 - 1;Escola de Futsal Grèvol Benjamí;02/12/2017;10:15;7;"Benjami ""A""";11. Benjamí
F.S. Esclop Benjamí;1 - 4;"Olimpic Argentona Benjamí ""B""";03/12/2017;11:30;7;"Benjami ""A""";11. Benjamí
C.F.S. La Garriga Benjamí;-;F.S. Llinars Benjamí;16/12/2017;09:00;8;"Benjami ""A""";11. Benjamí
"Olimpic Argentona Benjamí ""B""";1 - 9;Escola de Futsal Grèvol Benjamí;17/12/2017;09:00;8;"Benjami ""A""";11. Benjamí
"Olimpic Argentona Benjamí ""A""";1 - 10;F.S. Llinars Atletic Benjamí;17/12/2017;10:00;8;"Benjami ""A""";11. Benjamí
F.S. Esclop Benjamí;6 - 6;F.S. Telic Group Bigues i Riells Benjamí;21/01/2018;10:30;8;"Benjami ""A""";11. Benjamí
Escola de Futsal Grèvol Benjamí;6 - 6;C.F.S. La Garriga Benjamí;13/01/2018;09:30;9;"Benjami ""A""";11. Benjamí
"Olimpic Argentona Benjamí ""A""";3 - 3;F.S. Esclop Benjamí;13/01/2018;10:00;9;"Benjami ""A""";11. Benjamí
F.S. Telic Group Bigues i Riells Benjamí;5 - 3;"Olimpic Argentona Benjamí ""B""";13/01/2018;12:00;9;"Benjami ""A""";11. Benjamí
F.S. Llinars Benjamí;2 - 4;F.S. Llinars Atletic Benjamí;13/01/2018;15:30;9;"Benjami ""A""";11. Benjamí
F.S. Llinars Atletic Benjamí;0 - 4;C.F.S. La Garriga Benjamí;20/01/2018;10:00;10;"Benjami ""A""";11. Benjamí
F.S. Esclop Benjamí;3 - 1;F.S. Llinars Benjamí;20/01/2018;10:30;10;"Benjami ""A""";11. Benjamí
F.S. Telic Group Bigues i Riells Benjamí;8 - 6;Escola de Futsal Grèvol Benjamí;20/01/2018;12:00;10;"Benjami ""A""";11. Benjamí
"Olimpic Argentona Benjamí ""B""";-;"Olimpic Argentona Benjamí ""A""";24/02/2018;10:00;10;"Benjami ""A""";11. Benjamí
F.S. Llinars Benjamí;1 - 1;"Olimpic Argentona Benjamí ""B""";27/01/2018;10:00;11;"Benjami ""A""";11. Benjamí
"Olimpic Argentona Benjamí ""A""";2 - 2;F.S. Telic Group Bigues i Riells Benjamí;27/01/2018;10:00;11;"Benjami ""A""";11. Benjamí
Escola de Futsal Grèvol Benjamí;9 - 3;F.S. Llinars Atletic Benjamí;27/01/2018;10:45;11;"Benjami ""A""";11. Benjamí
C.F.S. La Garriga Benjamí;-;F.S. Esclop Benjamí;28/01/2018;11:00;11;"Benjami ""A""";11. Benjamí
"Olimpic Argentona Benjamí ""A""";-;Escola de Futsal Grèvol Benjamí;03/02/2018;10:00;12;"Benjami ""A""";11. Benjamí
F.S. Telic Group Bigues i Riells Benjamí;-;F.S. Llinars Benjamí;03/02/2018;12:00;12;"Benjami ""A""";11. Benjamí
F.S. Esclop Benjamí;-;F.S. Llinars Atletic Benjamí;04/02/2018;10:30;12;"Benjami ""A""";11. Benjamí
C.F.S. La Garriga Benjamí;-;"Olimpic Argentona Benjamí ""B""";04/02/2018;11:00;12;"Benjami ""A""";11. Benjamí
F.S. Telic Group Bigues i Riells Benjamí;-;C.F.S. La Garriga Benjamí;17/02/2018;12:00;13;"Benjami ""A""";11. Benjamí
"Olimpic Argentona Benjamí ""A""";-;C.F.S. La Garriga Benjamí;24/02/2018;10:00;14;"Benjami ""A""";11. Benjamí
F.S. Telic Group Bigues i Riells Benjamí;-;F.S. Llinars Atletic Benjamí;24/02/2018;12:00;14;"Benjami ""A""";11. Benjamí
Escola de Futsal Grèvol Benjamí;-;F.S. Llinars Benjamí;24/02/2018;12:20;14;"Benjami ""A""";11. Benjamí
"Olimpic Argentona Benjamí ""B""";-;F.S. Esclop Benjamí;25/02/2018;09:00;14;"Benjami ""A""";11. Benjamí
